ID Khách hàng,Họ và tên,Tuổi,Số điện thoại,Quận,Phường,Địa chỉ chi tiết,Email,Ngày sinh,Lịch sử mua hàng,Tần suất mua hàng,Tổng doanh thu,Tổng lợi nhuận,Đánh giá,Số lượt đánh giá,Tham gia KM
011,Vũ Phúc Thị,72,0948093609,Quận 7,Tân Thuận Đông,86 Cao Triều Phát,vu_phuc_thi_02021952@gmail.com,1952-02-02,"Cảm cúm, Tretinoin, Fentanyl, Oxycodone",11,941764.93,676111,3.3,1,0
012,Bùi Tú Lan,41,0976147546,Huyện Nhà Bè,Xã Long Thới,87 Phạm Hữu Lầu,bui_tu_lan_11121983@gmail.com,1983-12-11,"Metformin, Telmisartan",11,3644066.48,2388120,4.8,4,4
013,Hồ Quang Thị,60,0922384517,Huyện Nhà Bè,Xã Phước Lộc,19 Liên Ấp 2-3,ho_quang_thi_28091964@gmail.com,1964-09-28,Metoprolol,4,2001703.33,1448294,3.5,2,2
014,Vũ Bích An,36,0993526400,Huyện Nhà Bè,Xã Nhơn Đức,2 Nội Bộ Khu Tái Định Cư Phước Kiến Giai Đoạn I,vu_bich_an_05091988@gmail.com,1988-09-05,"Ranitidine, Olanzapine, Sildenafil, Tamsulosin",2,184372.02,143934,3.8,1,0
015,Nguyễn Văn Thị,59,0951269817,Huyện Nhà Bè,Xã Phú Xuân,13 Liên Ấp 3-4,nguyen_van_thi_24101965@gmail.com,1965-10-24,"Isotretinoin, Hydrochlorothiazide",4,3761432.73,2651226,4.5,5,5
016,Phạm Mai Mai,48,0992459440,Huyện Nhà Bè,Xã Phước Lộc,92 Đào Sư Tích,pham_mai_mai_31031976@gmail.com,1976-03-31,Sildenafil,1,3388163.26,2574498,4.6,5,5
017,Vũ Thành Thị,21,0958246203,Quận 7,Tân Hưng,9 Đường D4,vu_thanh_thi_03072003@gmail.com,2003-07-03,"Methylphenidate, Citalopram",8,3516928.4,2540753,4.3,5,5
018,Đỗ Thị Đức,48,0953467905,Huyện Nhà Bè,Xã Phú Xuân,56 Long Thới - Nhơn Đức,do_thi_duc_25101976@gmail.com,1976-10-25,"Doxycycline, Rifampin, Atenolol",5,234731.24,169955,4.9,1,0
019,Hoàng Thành Quang,69,0903945589,Quận 7,Bình Thuận,9 Hoàng Văn Thái,hoang_thanh_quang_07081955@gmail.com,1955-08-07,"Metoprolol, Valacyclovir",2,3061165.95,2122361,4.7,2,2
020,Vũ Tú Hải,26,0916459209,Quận 7,Tân Thuận Đông,63 Bùi Văn Cấm,vu_tu_hai_12031998@gmail.com,1998-03-12,"Montelukast, Esomeprazole, Simvastatin, Fluconazole",4,1169607.63,807189,4.3,1,1
021,Hồ Phúc Quang,74,0921149437,Quận 7,Tân Quy,83 Phạm Văn Nghị - Bắc,ho_phuc_quang_04081950@gmail.com,1950-08-04,"Ibuprofen, Cetirizine",8,2127416.68,1542610,3.1,1,1
022,Đỗ Thành Mai,48,0901328681,Quận 7,Bình Thuận,14 Đào Trí Nối dài,do_thanh_mai_18121976@gmail.com,1976-12-18,Finasteride,9,3825022.37,2546238,3.5,5,5
023,Hồ Tâm Quang,38,0937150262,Huyện Nhà Bè,Xã Phước Kiển,87 Nội Bộ Khu Tái Định Cư KCN Hiệp Phước,ho_tam_quang_22041986@gmail.com,1986-04-22,Valacyclovir,6,3421668.13,2673330,4.4,5,5
024,Hoàng Vĩ An,73,0918126493,Quận 7,Bình Thuận,86 Hà Huy Tập,hoang_vi_an_01071951@gmail.com,1951-07-01,"Azithromycin, Diclofenac",10,3615237.09,2837353,3.6,2,2
025,Lê Khánh Hải,53,0919750551,Huyện Nhà Bè,Xã Long Thới,1 Nguyễn Bình,le_khanh_hai_01061971@gmail.com,1971-06-01,"Paracetamol, Hydrochlorothiazide, Amoxicillin, Thuốc ho",2,1202814.74,856032,4.5,1,1
026,Hồ Văn Hải,37,0957905282,Huyện Nhà Bè,Xã Phú Xuân,51 Vạn Phát Hưng,ho_van_hai_11061987@gmail.com,1987-06-11,"Fexofenadine, Memantine, Atomoxetine",11,1448759.02,898459,3.4,1,1
027,Đỗ Thị Thị,77,0972325962,Huyện Nhà Bè,Xã Hiệp Phước,87 Nguyễn Hữu Thọ,do_thi_thi_07081947@gmail.com,1947-08-07,"Levofloxacin, Citalopram, Carvedilol",10,1421245.53,1131774,3.2,1,1
028,Trần Bích Đức,79,0938354931,Quận 7,Tân Thuận Đông,12 Bùi Văn Cấm,tran_bich_duc_18081945@gmail.com,1945-08-18,"Nystatin, Rivastigmine",1,2995012.14,1800136,3.8,1,1
029,Vũ Hải Mai,38,0944137941,Huyện Nhà Bè,Xã Phước Lộc,33 Chánh Hưng,vu_hai_mai_02121986@gmail.com,1986-12-02,Ibuprofen,9,1668498.53,1141825,4.5,2,2
030,Nguyễn Tú Như,73,0964692831,Quận 7,Tân Phong,73 Huỳnh Tấn Phát,nguyen_tu_nhu_11011952@gmail.com,1952-01-11,"Bupropion, Sildenafil, Pregabalin, Ranitidine",1,2275164.43,1377574,4.0,1,1
031,Trần Đức Lan,80,0961871264,Quận 7,Tân Thuận Tây,71 Phạm Văn Nghị - Bắc,tran_duc_lan_09041944@gmail.com,1944-04-09,Prednisolone,4,3255159.02,2492697,4.2,2,2
032,Lê Đức Như,18,0932261649,Quận 7,Tân Quy,55 Gò Ô Môi,le_duc_nhu_04062006@gmail.com,2006-06-04,"Rivastigmine, Carvedilol",5,1441856.44,1048816,3.1,2,2
033,Hoàng Mai Như,45,0972601322,Huyện Nhà Bè,Xã Phước Lộc,45 Đặng Nhữ Lâm,hoang_mai_nhu_17081979@gmail.com,1979-08-17,"Pregabalin, Thuốc ho, Losartan",12,1598378.1,1079416,4.0,2,2
034,Bùi An An,38,0975762170,Huyện Nhà Bè,Xã Hiệp Phước,28 Nhơn Đức,bui_an_an_17021986@gmail.com,1986-02-17,Olanzapine,9,3321617.61,2097169,5.0,4,4
035,Nguyễn Văn Thị,68,0992698407,Quận 7,Phú Mỹ,80 Đô Đốc Tuyết,nguyen_van_thi_04091956@gmail.com,1956-09-04,"Finasteride, Acyclovir, Atorvastatin",7,629011.1,435168,3.2,1,0
036,Bùi Ngọc Ngọc,36,0943210666,Quận 7,Bình Thuận,71 Bắc Nam,bui_ngoc_ngoc_06091988@gmail.com,1988-09-06,Metoprolol,3,3890794.8,2467377,3.4,4,4
037,Hồ Quang Mai,43,0968940997,Quận 7,Tân Thuận Đông,21 Phạm Viết Chánh,ho_quang_mai_03071981@gmail.com,1981-07-03,"Sertraline, Fentanyl, Propranolol, Clindamycin",11,2072547.12,1352352,4.5,2,2
038,Hồ Bích Đức,32,0901807172,Quận 7,Tân Thuận Tây,31 Nguyễn Văn Tiết,ho_bich_duc_27081992@gmail.com,1992-08-27,Albuterol,2,3902506.41,2632738,4.9,5,5
039,Phạm Văn Như,19,0932251941,Quận 7,Tân Phú,14 Ô Đốc Tuyết,pham_van_nhu_20082005@gmail.com,2005-08-20,"Fluconazole, Fluoxetine, Cảm cúm, Isotretinoin",6,4039694.32,2988302,3.6,5,5
040,Trần Hà Ngọc,70,0923975391,Huyện Nhà Bè,Xã Nhơn Đức,63 Nguyễn Bình,tran_ha_ngoc_12081954@gmail.com,1954-08-12,"Quetiapine, Lithium, Cetirizine",12,3228895.59,2415140,3.6,2,2
041,Hồ Minh Văn,59,0949974318,Huyện Nhà Bè,Xã Phước Kiển,82 Bờ Tây,ho_minh_van_14071965@gmail.com,1965-07-14,"Celecoxib, Duloxetine, Duloxetine",3,4697848.7,2917164,4.8,5,5
042,Lê Tâm Mai,33,0937736845,Quận 7,Tân Thuận Tây,45 Cầu Tân Thuận 22,le_tam_mai_09011991@gmail.com,1991-01-09,"Nitroglycerin, Aripiprazole",2,2128374.84,1499269,4.0,2,2
043,Đỗ Ngọc Thị,19,0932762234,Quận 7,Tân Thuận Tây,97 Bùi Văn Cấm,do_ngoc_thi_03022005@gmail.com,2005-02-03,"Methadone, Prednisolone, Simvastatin, Finasteride",11,1781244.73,1280848,3.5,2,2
044,Ngô Quang Thị,29,0969724980,Quận 7,Tân Phong,21 Cao Triều Phát,ngo_quang_thi_01031995@gmail.com,1995-03-01,Fentanyl,1,1267174.77,838478,3.7,1,1
045,Nguyễn Bảo Hải,69,0933386620,Quận 7,Tân Kiểng,85 Nguyễn Phan Chánh,nguyen_bao_hai_07061955@gmail.com,1955-06-07,Ibuprofen,1,211268.5,155526,3.5,1,0
046,Nguyễn Bích Quang,54,0982591382,Quận 7,Tân Thuận Đông,71 Đường U,nguyen_bich_quang_02051970@gmail.com,1970-05-02,"Lithium, Citalopram",7,2759212.85,1710105,4.2,3,3
047,Ngô An An,35,0959076972,Huyện Nhà Bè,Xã Phước Lộc,66 Liên Ấp 2-3,ngo_an_an_26121989@gmail.com,1989-12-26,"Aspirin, Ibuprofen, Hydrocodone",10,1219174.34,826136,4.2,1,1
048,Đỗ Hà Quang,40,0951182636,Quận 7,Tân Phong,26 Nguyễn Văn Quỳ,do_ha_quang_19081984@gmail.com,1984-08-19,Sertraline,3,2922475.51,2179969,4.0,4,4
049,Trần Hà Đức,41,0945354784,Quận 7,Tân Thuận Đông,80 Huỳnh Tấn Phát,tran_ha_duc_28071983@gmail.com,1983-07-28,"Sildenafil, Celecoxib, Esomeprazole",4,4285810.63,2888720,4.1,5,5
050,Lê Minh Như,43,0913963182,Quận 7,Tân Quy,20 Phạm Văn Nghị - Bắc,le_minh_nhu_07061981@gmail.com,1981-06-07,Levothyroxine,8,3802022.76,2507396,4.5,5,5
051,Trần Mai Ngọc,40,0969002555,Quận 7,Phú Thuận,76 Lâm Văn Bền,tran_mai_ngoc_05081984@gmail.com,1984-08-05,Amoxicillin,12,532548.99,359710,3.3,1,0
052,Lê Tâm Như,47,0951380744,Huyện Nhà Bè,Xã Phú Xuân,68 Bà Cả,le_tam_nhu_16101977@gmail.com,1977-10-16,"Tramadol, Montelukast, Pregabalin, Acyclovir",1,604342.17,459630,3.2,1,0
053,Trần Thị Thị,57,0953928366,Huyện Nhà Bè,Xã Hiệp Phước,8 Liên Ấp 3-4,tran_thi_thi_29081967@gmail.com,1967-08-29,"Nitroglycerin, Citalopram, Ranitidine, Cảm cúm",3,1100043.52,762898,3.5,1,1
054,Bùi Tú Đức,25,0924098905,Huyện Nhà Bè,Xã Hiệp Phước,39 Phú Xuân,bui_tu_duc_04051999@gmail.com,1999-05-04,"Valacyclovir, Ziprasidone, Metoprolol",12,1075607.73,853581,3.5,1,1
055,Vũ Vĩ Văn,21,0911120339,Quận 7,Tân Phong,67 Nguyễn Văn Tiết,vu_vi_van_02032003@gmail.com,2003-03-02,"Clindamycin, Nystatin",7,1076001.93,807940,4.6,1,1
056,Đỗ Minh Như,21,0958072370,Huyện Nhà Bè,Xã Hiệp Phước,78 Liên Ấp 2-3,do_minh_nhu_20092003@gmail.com,2003-09-20,"Paracetamol, Clindamycin",5,1587887.2,1268669,4.7,2,2
057,Trần An Lan,39,0919968390,Huyện Nhà Bè,Xã Phú Xuân,98 Dương Cát Lợi,tran_an_lan_08061985@gmail.com,1985-06-08,"Rifampin, Finasteride",12,1038037.17,763113,4.4,1,1
058,Hồ Tâm Mai,23,0956031573,Huyện Nhà Bè,Xã Long Thới,85 Nội Bộ Khu Cán Bộ Công Nhân Viên Huyện,ho_tam_mai_11082001@gmail.com,2001-08-11,Lisinopril,9,3102345.01,1988039,4.2,3,3
059,Đỗ Tú Như,55,0924228196,Huyện Nhà Bè,Xã Nhơn Đức,44 Phan Văn Bảy,do_tu_nhu_24071969@gmail.com,1969-07-24,"Sertraline, Metronidazole, Fluconazole, Thuốc ho",6,3072205.82,2009847,3.8,4,4
060,Ngô Phúc Đức,70,0966219957,Quận 7,Phú Mỹ,45 Gò Ô Môi,ngo_phuc_duc_18111954@gmail.com,1954-11-18,Ibuprofen,2,3142701.33,2506723,4.2,2,2
061,Đỗ Ngọc Thị,51,0944045797,Huyện Nhà Bè,Xã Phước Lộc,95 Nguyễn Hữu Thọ,do_ngoc_thi_26101973@gmail.com,1973-10-26,"Sodium chloride, Thuốc đau dạ dày, Ketorolac, Venlafaxine",9,2376536.47,1746073,4.0,3,3
062,Lê Thành Đức,56,0919884326,Huyện Nhà Bè,Xã Long Thới,22 Lê Văn Lương,le_thanh_duc_08111968@gmail.com,1968-11-08,Quetiapine,10,1137689.37,759205,4.4,1,1
063,Hồ Vĩ Ngọc,35,0948488251,Huyện Nhà Bè,Xã Phước Lộc,18 Bà Cả,ho_vi_ngoc_16111989@gmail.com,1989-11-16,Sodium chloride,2,1915656.03,1475407,4.2,2,2
064,Đỗ Hải Văn,44,0943587404,Huyện Nhà Bè,Xã Long Thới,11 Nhơn Đức,do_hai_van_30071980@gmail.com,1980-07-30,Pregabalin,12,3246544.32,2026283,3.4,4,4
065,Hồ Như Mai,28,0998258738,Quận 7,Phú Mỹ,51 Đường D232,ho_nhu_mai_10121996@gmail.com,1996-12-10,"Venlafaxine, Thuốc đau dạ dày",6,774282.94,470712,5.0,1,0
066,Bùi Bích Quang,78,0985114884,Quận 7,Tân Hưng,55 Nguyễn Phan Chánh,bui_bich_quang_02101946@gmail.com,1946-10-02,Carvedilol,11,1097051.23,770819,3.0,1,0
067,Phạm Đức Hải,60,0963808585,Huyện Nhà Bè,Xã Phước Lộc,65 Nguyễn Hữu Thọ,pham_duc_hai_07041964@gmail.com,1964-04-07,"Oxycodone, Albuterol",7,2669248.64,1622185,3.7,3,3
068,Hoàng Mai Ngọc,35,0973142672,Huyện Nhà Bè,Xã Hiệp Phước,44 Nội Bộ Khu Cán Bộ Công Nhân Viên Huyện,hoang_mai_ngoc_04051989@gmail.com,1989-05-04,Bacitracin,8,2199547.28,1515913,4.7,3,3
069,Phạm Văn Như,80,0995400747,Quận 7,Tân Thuận Đông,86 Nguyễn Khắc Viện,pham_van_nhu_17061944@gmail.com,1944-06-17,"Tamsulosin, Fexofenadine, Olanzapine, Donepezil",10,449708.57,334224,3.8,1,0
070,Trần Mai Mai,54,0972214680,Huyện Nhà Bè,Xã Phước Lộc,77 Lê Văn Lương,tran_mai_mai_07071970@gmail.com,1970-07-07,Valacyclovir,2,3317024.78,2369611,3.4,4,4
071,Bùi Như Quang,44,0913878860,Quận 7,Tân Hưng,49 Bắc Nam,bui_nhu_quang_10021980@gmail.com,1980-02-10,"Rifampin, Sertraline",6,559437.77,392287,4.7,1,0
072,Nguyễn Bích Quang,59,0907191844,Quận 7,Tân Hưng,77 Phan Văn Chương,nguyen_bich_quang_04051965@gmail.com,1965-05-04,"Neomycin, Meloxicam, Meloxicam, Sertraline",6,1869956.37,1381405,4.4,2,2
073,Hoàng Vĩ Thị,69,0909686870,Huyện Nhà Bè,Xã Long Thới,97 Liên Ấp 2-3,hoang_vi_thi_30081955@gmail.com,1955-08-30,"Gabapentin, Thuốc ho, Diclofenac, Metronidazole",7,2064209.2,1278872,4.1,1,1
074,Phạm Linh Như,43,0964108568,Quận 7,Phú Thuận,91 Bắc Nam,pham_linh_nhu_13081981@gmail.com,1981-08-13,"Amlodipine, Citalopram, Lansoprazole, Acyclovir",3,3706054.66,2375441,4.6,4,4
075,Hồ Tâm Mai,22,0986665355,Huyện Nhà Bè,Xã Phước Lộc,74 Nội Bộ Khu Tái Định Cư KCN Hiệp Phước,ho_tam_mai_31122001@gmail.com,2001-12-31,"Citalopram, Sodium chloride",10,3297658.31,2088529,3.7,4,4
076,Phạm Minh Mai,77,0959014850,Huyện Nhà Bè,Xã Phú Xuân,56 Bà Cả,pham_minh_mai_03081947@gmail.com,1947-08-03,Tamsulosin,5,377285.52,226546,3.3,1,0
077,Bùi An Văn,73,0965659741,Huyện Nhà Bè,Xã Phước Lộc,77 Khu Trung Tâm Huyện,bui_an_van_24091951@gmail.com,1951-09-24,Propranolol,9,2927278.0,1861823,4.9,1,1
078,Lê Khánh Như,36,0963327788,Quận 7,Bình Thuận,21 Khu Mỹ Kim,le_khanh_nhu_25101988@gmail.com,1988-10-25,Acyclovir,4,3757449.04,2349327,3.7,4,4
079,Đỗ Phúc Quang,33,0918477988,Quận 7,Bình Thuận,6 Đô Đốc Tuyết,do_phuc_quang_26121991@gmail.com,1991-12-26,Metronidazole,7,853685.04,660692,3.6,1,1
080,Đỗ Minh Như,35,0974470611,Huyện Nhà Bè,Xã Nhơn Đức,69 Nguyễn Bình,do_minh_nhu_29011989@gmail.com,1989-01-29,"Citalopram, Naproxen",10,4000046.92,2822018,4.2,5,5
081,Nguyễn Hà Như,64,0989130943,Quận 7,Tân Phú,70 Bùi Bằng Đoàn,nguyen_ha_nhu_13101960@gmail.com,1960-10-13,"Tramadol, Donepezil, Fluoxetine, Nitroglycerin",3,3152108.59,2507076,4.0,2,2
082,Vũ An Ngọc,38,0903707048,Huyện Nhà Bè,Xã Nhơn Đức,88 Long Thới,vu_an_ngoc_13021986@gmail.com,1986-02-13,"Metronidazole, Isotretinoin, Telmisartan",2,3630905.76,2743901,3.1,5,5
083,Nguyễn Khánh Hải,65,0904214870,Quận 7,Tân Thuận Tây,67 Nguyễn Khắc Viện,nguyen_khanh_hai_05121959@gmail.com,1959-12-05,"Quetiapine, Donepezil, Citalopram",1,2484625.52,1610038,4.4,1,1
084,Đỗ Phúc Quang,41,0947888366,Huyện Nhà Bè,Xã Phú Xuân,49 Nội Bộ Khu Tái Định Cư Phước Kiến Giai Đoạn I,do_phuc_quang_09061983@gmail.com,1983-06-09,"Galantamine, Carvedilol",11,1956132.77,1344347,4.7,2,2
085,Trần Phúc Hải,26,0988098762,Quận 7,Tân Hưng,18 Hưng Long,tran_phuc_hai_27051998@gmail.com,1998-05-27,"Miconazole, Diclofenac",6,3421836.87,2493153,4.9,4,4
086,Trần Phúc Văn,68,0971644779,Quận 7,Tân Quy,22 Đào Trí Nối dài,tran_phuc_van_05111956@gmail.com,1956-11-05,"Fluoxetine, Meloxicam",9,1823532.73,1106884,3.5,1,1
087,Nguyễn Bích Quang,66,0918852710,Huyện Nhà Bè,Xã Phước Kiển,92 Nguyễn Lương Bằng,nguyen_bich_quang_29011958@gmail.com,1958-01-29,Ciprofloxacin,11,1495295.52,900328,3.2,1,0
088,Bùi Bích Hải,38,0946150409,Huyện Nhà Bè,Xã Phước Lộc,36 Nguyễn Bình,bui_bich_hai_28111986@gmail.com,1986-11-28,Neomycin,10,1860641.48,1290593,3.7,2,2
089,Bùi Khánh An,50,0912054777,Quận 7,Tân Hưng,94 Đường U,bui_khanh_an_15051974@gmail.com,1974-05-15,"Fexofenadine, Levofloxacin",5,2223125.78,1685487,3.1,3,3
090,Phạm Bích Như,67,0901944663,Huyện Nhà Bè,Xã Phú Xuân,38 Phú Xuân,pham_bich_nhu_21071957@gmail.com,1957-07-21,"Rivastigmine, Ramipril, Sertraline",8,633802.94,422331,3.7,1,0
091,Vũ Thành Văn,35,0912415206,Huyện Nhà Bè,Xã Phước Kiển,5 Nguyễn Bình,vu_thanh_van_30041989@gmail.com,1989-04-30,"Hydrocodone, Citalopram",4,1928624.02,1215175,3.2,2,2
092,Trần Vĩ Quang,41,0946741170,Huyện Nhà Bè,Xã Phước Lộc,52 Vạn Phát Hưng,tran_vi_quang_15071983@gmail.com,1983-07-15,"Atorvastatin, Amlodipine, Duloxetine, Tramadol",2,1930682.68,1483120,3.5,2,2
093,Hồ Minh Hải,64,0955143448,Huyện Nhà Bè,Xã Nhơn Đức,67 Nguyễn Văn Thọ,ho_minh_hai_27071960@gmail.com,1960-07-27,"Quetiapine, Metronidazole, Fentanyl, Tamsulosin",12,2641911.82,2029020,4.9,2,2
094,Phạm Ngọc Mai,74,0931248798,Quận 7,Tân Thuận Đông,10 Nguyễn Văn Tiết,pham_ngoc_mai_10111950@gmail.com,1950-11-10,Sertraline,7,4562060.7,2903365,3.1,2,2
095,Phạm Như Đức,21,0967012284,Quận 7,Phú Mỹ,18 Bùi Văn Ba,pham_nhu_duc_27122003@gmail.com,2003-12-27,Cetirizine,12,3708666.48,2766629,4.2,5,5
096,Hồ Hải Như,24,0981267062,Quận 7,Phú Thuận,58 Đào Sư Tích,ho_hai_nhu_04012000@gmail.com,2000-01-04,"Losartan, Lisinopril, Tamsulosin, Aripiprazole",11,559952.14,406089,4.1,1,0
097,Đỗ Hải Văn,22,0913778066,Quận 7,Bình Thuận,49 Huỳnh Tấn Phát,do_hai_van_17052002@gmail.com,2002-05-17,Quetiapine,3,1991775.29,1428789,5.0,2,2
098,Vũ Hải Mai,77,0954064525,Quận 7,Phú Mỹ,6 Đường D4,vu_hai_mai_19011947@gmail.com,1947-01-19,"Finasteride, Metformin, Carvedilol, Memantine",6,2610733.6,1772055,4.6,1,1
099,Hồ Phúc Lan,59,0947387889,Huyện Nhà Bè,Xã Long Thới,48 Phan Văn Bảy,ho_phuc_lan_11011965@gmail.com,1965-01-11,"Fexofenadine, Diclofenac, Atomoxetine",8,1984581.35,1469247,4.2,2,2
100,Trần Bảo Đức,35,0901927540,Quận 7,Bình Thuận,43 Lâm Văn Bền,tran_bao_duc_19071989@gmail.com,1989-07-19,"Metformin, Sildenafil",7,734660.36,444958,4.5,1,0
101,Nguyễn Hà Quang,71,0975296895,Huyện Nhà Bè,Xã Phú Xuân,99 Liên Ấp 3-4,nguyen_ha_quang_14081953@gmail.com,1953-08-14,Rifampin,5,4306509.62,2757936,4.4,2,2
102,Vũ Ngọc Văn,38,0937589580,Huyện Nhà Bè,Xã Nhơn Đức,85 Liên Ấp 2-3,vu_ngoc_van_21011986@gmail.com,1986-01-21,"Venlafaxine, Miconazole, Vitamin C, Hydrochlorothiazide",2,806687.85,493813,4.7,1,0
103,Hồ Minh Văn,19,0919025701,Huyện Nhà Bè,Xã Nhơn Đức,28 Lê Văn Lương,ho_minh_van_22012005@gmail.com,2005-01-22,"Ziprasidone, Gabapentin",10,3441900.42,2547661,3.1,5,5
104,Nguyễn Linh Lan,47,0915439066,Huyện Nhà Bè,Xã Phú Xuân,82 Nguyễn Hữu Thọ,nguyen_linh_lan_27021977@gmail.com,1977-02-27,"Venlafaxine, Metronidazole",1,616782.59,466826,3.4,1,0
105,Trần Phúc Văn,74,0911830102,Quận 7,Tân Hưng,15 Hà Huy Tập,tran_phuc_van_10011951@gmail.com,1951-01-10,"Tamsulosin, Benzoyl peroxide, Ranitidine",11,1507657.23,932432,3.3,1,0
106,Hồ Bích Lan,46,0942808042,Huyện Nhà Bè,Xã Long Thới,64 Đào Xuân Tích,ho_bich_lan_06071978@gmail.com,1978-07-06,"Prednisone, Metronidazole, Sodium chloride, Ketorolac",2,1494625.27,1172531,3.3,2,2
107,Nguyễn Đức Lan,22,0978977968,Quận 7,Bình Thuận,97 Cầu Tân Thuận 22,nguyen_duc_lan_30062002@gmail.com,2002-06-30,Dexamethasone,10,306377.23,190972,4.1,1,0
108,Hoàng Mai Ngọc,58,0976708564,Huyện Nhà Bè,Xã Phú Xuân,88 Đặng Nhữ Lâm,hoang_mai_ngoc_16091966@gmail.com,1966-09-16,"Metronidazole, Olanzapine, Propranolol, Venlafaxine",9,652057.38,453050,3.7,1,0
109,Ngô Tú Đức,77,0933604632,Huyện Nhà Bè,Xã Phước Kiển,35 Long Thới - Nhơn Đức,ngo_tu_duc_30121947@gmail.com,1947-12-30,Finasteride,1,1633261.29,1252741,3.6,1,1
110,Bùi Bích Như,72,0912666022,Quận 7,Phú Mỹ,64 Nguyễn Văn Cừ,bui_bich_nhu_26101952@gmail.com,1952-10-26,"Dexamethasone, Ibuprofen, Aripiprazole",9,633271.81,403576,4.1,1,0
111,Phạm Như Đức,71,0958522670,Quận 7,Tân Hưng,83 Phan Văn Chương,pham_nhu_duc_14071953@gmail.com,1953-07-14,Omeprazole,10,210853.45,158666,3.3,1,0
112,Vũ An Quang,61,0978901702,Huyện Nhà Bè,Xã Phước Lộc,86 Liên Ấp 2-3,vu_an_quang_18031963@gmail.com,1963-03-18,Tramadol,4,3385079.31,2439281,4.2,2,2
113,Hoàng Thành Quang,58,0933204103,Huyện Nhà Bè,Xã Long Thới,13 Nguyễn Văn Thọ,hoang_thanh_quang_17041966@gmail.com,1966-04-17,"Fluconazole, Propranolol, Galantamine, Atomoxetine",2,4017525.74,2445037,4.6,4,4
114,Hoàng Phúc Văn,38,0997635327,Quận 7,Bình Thuận,23 Chuyên Dùng,hoang_phuc_van_07031986@gmail.com,1986-03-07,Tretinoin,1,129403.7,92415,4.7,1,0
115,Đỗ Đức Hải,31,0993658020,Huyện Nhà Bè,Xã Long Thới,6 Đào Sư Tích,do_duc_hai_25051993@gmail.com,1993-05-25,"Hydroxychloroquine, Simvastatin",5,1014565.24,732957,3.6,1,1
116,Đỗ An Đức,42,0973695671,Huyện Nhà Bè,Xã Phước Kiển,79 Phan Văn Bảy,do_an_duc_14091982@gmail.com,1982-09-14,"Clindamycin, Trazodone, Naproxen, Albuterol",3,147277.49,109731,3.0,1,0
117,Hồ Phúc Lan,72,0962192599,Quận 7,Tân Thuận Tây,9 Hoàng Văn Thái,ho_phuc_lan_14081952@gmail.com,1952-08-14,"Duloxetine, Ziprasidone, Lansoprazole",2,2705120.02,1934196,5.0,1,1
